expNum,age,gender,ingroupNorm,bothShown,ingroupFirst,response,rating,understandingCheckResponse,understandingCheckOrder,responseTime,understandingCheckTime,elapsedTime,utcTime,RepublicanRating,DemocraticRating,topIssue,topIssueRating,identityIngroupResponse,identityOutgroupResponse,ingroupAgree,outgroupDisagree
Exp 1,36,female,1,0,0,6,-3,1,1432,19.144,13.13,107.7,"Sun, 25 Mar 2018 23:27:00 GMT",NA,NA,3,10,3,6,0,0
Exp 1,58,male,1,0,0,1,2,1,1243,26.564,18.346,171.197,"Sun, 25 Mar 2018 23:45:07 GMT",NA,NA,3,0,6,2,1,1
Exp 1,31,male,0,1,0,1,3,1,2134,27.617,23.416,113.444,"Sun, 25 Mar 2018 23:32:57 GMT",NA,NA,5,0,4,4,0,0
Exp 1,61,female,0,0,0,1,0,1,3421,8.133,14.689,99.985,"Mon, 26 Mar 2018 00:12:04 GMT",NA,NA,0,10,6,6,1,0
Exp 1,44,female,1,0,0,2,0,1,1342,22.351,26.1,140.587,"Sun, 25 Mar 2018 23:44:48 GMT",NA,NA,0,1,7,1,1,1
Exp 1,43,male,0,1,0,6,3,1,1432,21.268,17.387,109.13,"Sun, 25 Mar 2018 23:26:27 GMT",NA,NA,0,0,7,1,1,1
Exp 1,19,female,1,0,0,4,-1,1,2341,36.806,37.701,155.59,"Mon, 26 Mar 2018 00:25:32 GMT",NA,NA,0,8,6,4,1,0
Exp 1,60,female,0,0,0,1,-3,1,3142,61.471,33.542,203.242,"Sun, 25 Mar 2018 23:30:27 GMT",NA,NA,0,10,1,7,0,0
Exp 1,28,male,1,0,0,3,0,1,4132,45.281,71.516,215.323,"Mon, 26 Mar 2018 01:47:48 GMT",NA,NA,3,3,5,3,1,1
Exp 1,24,female,0,1,0,6,2,1,3214,28.681,19.726,94.772,"Sun, 25 Mar 2018 23:35:34 GMT",NA,NA,5,10,7,1,1,1
Exp 1,40,female,0,1,1,3,-1,1,2341,50.96,44.006,180.339,"Mon, 26 Mar 2018 00:19:07 GMT",NA,NA,3,10,7,1,1,1
Exp 1,26,female,1,0,0,5,1,1,1243,12.436,12.829,80.091,"Sun, 25 Mar 2018 23:57:56 GMT",NA,NA,1,10,7,1,1,1
Exp 1,35,female,0,1,0,4,-1,1,4321,44.631,35.132,133.925,"Mon, 26 Mar 2018 00:06:07 GMT",NA,NA,2,0,7,1,1,1
Exp 1,36,female,0,0,0,3,2,1,2341,39.521,18.913,213.21,"Mon, 26 Mar 2018 00:27:15 GMT",NA,NA,0,9,4,4,0,0
Exp 1,34,female,0,1,0,1,3,1,3412,37.994,33.596,159.048,"Sun, 25 Mar 2018 23:34:07 GMT",NA,NA,8,0,7,1,1,1
Exp 1,38,female,0,1,1,6,0,1,2431,25.762,15.851,114.58,"Mon, 26 Mar 2018 00:01:40 GMT",NA,NA,5,7,5,2,1,1
Exp 1,34,female,0,0,0,4,2,1,4123,22.557,26.84,178.035,"Mon, 26 Mar 2018 00:22:01 GMT",NA,NA,5,6,5,3,1,1
Exp 1,27,female,1,1,0,4,0,1,4312,53.053,23.018,203.031,"Sun, 25 Mar 2018 23:36:28 GMT",NA,NA,1,10,5,1,1,1
Exp 1,43,female,1,1,0,1,3,1,1432,18.977,12.417,84.516,"Sun, 25 Mar 2018 23:45:16 GMT",NA,NA,0,0,7,1,1,1
Exp 1,30,female,0,1,1,5,0,1,2143,37.374,20.035,106.76,"Sun, 25 Mar 2018 23:43:06 GMT",NA,NA,1,10,7,1,1,1
Exp 1,22,male,0,0,0,1,0,3,4231,2.584,1.424,27.527,"Sun, 25 Mar 2018 23:27:20 GMT",NA,NA,0,7,4,1,0,1
Exp 1,42,female,0,0,0,2,3,3,2143,27.476,143.109,310.611,"Mon, 26 Mar 2018 00:09:36 GMT",NA,NA,8,6,5,3,1,1
Exp 1,35,female,1,0,0,5,3,1,4312,35.222,14.874,136.936,"Mon, 26 Mar 2018 01:47:34 GMT",NA,NA,0,10,7,1,1,1
Exp 1,56,female,0,0,0,4,0,1,1432,97.224,81.277,337.47,"Mon, 26 Mar 2018 00:01:46 GMT",NA,NA,5,0,7,1,1,1
Exp 1,32,female,1,1,1,5,-1,1,4123,25.973,16.133,109.472,"Mon, 26 Mar 2018 00:00:16 GMT",NA,NA,3,2,5,2,1,1
Exp 1,61,male,0,0,0,1,3,1,2341,22.899,23.737,182.295,"Mon, 26 Mar 2018 00:25:48 GMT",NA,NA,5,10,7,1,1,1
Exp 1,27,female,1,0,0,2,-1,1,3124,21.667,25.682,98.781,"Sun, 25 Mar 2018 22:58:03 GMT",NA,NA,0,3,7,3,1,1
Exp 1,31,male,0,0,0,1,2,1,4132,23.318,26.443,146.016,"Mon, 26 Mar 2018 00:15:31 GMT",NA,NA,0,10,7,1,1,1
Exp 1,61,female,1,1,0,5,0,3,1423,24.645,16.672,242.791,"Mon, 26 Mar 2018 00:17:54 GMT",NA,NA,2,0,7,1,1,1
Exp 1,39,female,1,1,0,1,2,1,4132,26.094,11.196,129.915,"Mon, 26 Mar 2018 00:13:17 GMT",NA,NA,3,10,6,2,1,1
Exp 1,46,male,0,1,0,4,0,1,3142,51.27,15.84,126.536,"Sun, 25 Mar 2018 23:39:09 GMT",NA,NA,0,10,6,1,1,1
Exp 1,37,male,0,0,0,1,3,1,3142,47.794,32.372,261.233,"Mon, 26 Mar 2018 00:12:51 GMT",NA,NA,0,9,1,7,0,0
Exp 1,45,female,1,0,0,2,1,1,3124,16.014,18.958,74.616,"Mon, 26 Mar 2018 00:08:40 GMT",NA,NA,0,8,6,2,1,1
Exp 1,42,female,1,0,0,6,2,1,1324,27.047,26.826,136.664,"Sun, 25 Mar 2018 23:34:04 GMT",NA,NA,5,10,7,1,1,1
Exp 1,43,female,1,0,0,4,0,1,1234,39.928,29.138,138.96,"Mon, 26 Mar 2018 00:19:06 GMT",NA,NA,5,7,6,2,1,1
Exp 1,27,male,0,1,1,3,-1,1,4132,33.52,17.992,119.43,"Sun, 25 Mar 2018 23:59:08 GMT",NA,NA,0,0,7,1,1,1
Exp 1,69,female,0,1,0,6,3,1,4231,65.974,14.012,169.456,"Sun, 25 Mar 2018 23:45:14 GMT",NA,NA,0,3,7,1,1,1
Exp 1,25,female,1,1,0,3,1,1,1342,103.697,32.437,200.352,"Mon, 26 Mar 2018 00:00:04 GMT",NA,NA,7,10,7,1,1,1
Exp 1,28,male,1,0,0,5,3,1,3142,84.864,34.958,386.421,"Mon, 26 Mar 2018 00:19:32 GMT",NA,NA,2,0,7,1,1,1
Exp 1,47,male,1,1,0,2,2,1,2413,48.445,21.266,175.244,"Mon, 26 Mar 2018 00:12:35 GMT",NA,NA,0,10,7,1,1,1
Exp 1,22,female,1,1,1,6,1,1,2134,30.562,17.691,104.921,"Mon, 26 Mar 2018 01:51:02 GMT",NA,NA,5,8,6,4,1,0
Exp 1,30,female,0,0,0,4,0,1,3142,47.227,45.332,174.716,"Sun, 25 Mar 2018 22:46:54 GMT",NA,NA,5,10,7,1,1,1
Exp 1,36,female,0,1,1,6,3,1,4231,14.254,16.686,93.596,"Sun, 25 Mar 2018 23:44:46 GMT",NA,NA,5,0,4,4,0,0
Exp 1,36,female,0,0,0,3,-2,1,1324,20.805,42.398,151.225,"Sun, 25 Mar 2018 22:34:19 GMT",NA,NA,1,10,6,1,1,1
Exp 1,25,male,0,0,0,1,2,1,1243,25.167,40.123,134.622,"Sun, 25 Mar 2018 23:31:06 GMT",NA,NA,0,10,6,2,1,1
Exp 1,23,male,0,1,0,1,1,1,2314,20.888,14.606,237.977,"Sun, 25 Mar 2018 23:48:41 GMT",NA,NA,0,8,4,4,0,0
Exp 1,34,female,1,0,0,4,0,1,1423,18.807,50.622,122.893,"Sun, 25 Mar 2018 23:53:52 GMT",NA,NA,0,2,5,3,1,1
Exp 1,53,male,0,0,0,1,3,1,3241,19.011,13.067,105.986,"Mon, 26 Mar 2018 00:19:32 GMT",NA,NA,0,10,7,1,1,1
Exp 1,29,male,1,0,0,3,-1,1,3124,32.408,63.027,147.837,"Sun, 25 Mar 2018 23:46:42 GMT",NA,NA,2,0,5,2,1,1
Exp 1,56,female,0,1,1,3,1,1,1342,15.6,12.498,66.857,"Mon, 26 Mar 2018 00:16:17 GMT",NA,NA,2,0,7,1,1,1
Exp 1,50,female,1,0,0,3,-1,1,3124,46.104,29.811,169.112,"Sun, 25 Mar 2018 23:39:43 GMT",NA,NA,0,3,4,4,0,0
Exp 1,32,female,0,0,0,1,-1,1,1342,7.079,5.986,59.25,"Mon, 26 Mar 2018 00:21:32 GMT",NA,NA,3,10,7,1,1,1
Exp 1,23,female,0,0,0,3,0,1,1234,16.202,35.771,92.655,"Sun, 25 Mar 2018 23:38:58 GMT",NA,NA,7,10,7,1,1,1
Exp 1,53,female,0,1,1,1,0,1,4231,43.137,18.119,197.126,"Sun, 25 Mar 2018 23:52:11 GMT",NA,NA,0,10,7,1,1,1
Exp 1,48,male,0,1,1,1,0,1,2341,27.874,22.37,134.696,"Sun, 25 Mar 2018 23:27:21 GMT",NA,NA,2,0,1,1,0,1
Exp 1,56,female,1,1,1,1,3,2,2431,31.296,28.505,255.198,"Mon, 26 Mar 2018 00:09:41 GMT",NA,NA,0,0,5,1,1,1
Exp 1,49,female,0,1,1,1,2,3,3412,40.578,35.652,137.03,"Sun, 25 Mar 2018 23:35:28 GMT",NA,NA,0,8,2,7,0,0
Exp 1,34,female,0,0,0,1,0,1,4213,32.56,30.236,268.142,"Sun, 25 Mar 2018 23:27:05 GMT",NA,NA,3,0,7,1,1,1
Exp 1,35,female,1,0,0,6,3,1,3142,31.418,17.992,124.506,"Sun, 25 Mar 2018 23:37:05 GMT",NA,NA,0,10,1,7,0,0
Exp 1,18,female,1,0,0,5,1,1,1234,24.694,17.178,99.914,"Sun, 25 Mar 2018 23:29:54 GMT",NA,NA,0,2,6,2,1,1
